Organization Type,Records
"government, healthcare",9037378
"government, military",26500000
healthcare,169542570
hotel,505563000
local search,100000000
market analysis,120000000
media,1700000
military,77448000
"military, healthcare",4901432
mobile carrier,900000
online marketing,38000000
personal/demographic data,201000000
phone accessories,377428
publisher (magazine),380000
qr code payment,20076016
q&a,100000000
restaurant,2000000
retail,372045740
shopping,510000
social media,46000000
social network,1252870304
special public corporation,1250000
tech,1000898000
"tech, retail",12567232
"tech, web",22000000
telecommunications,515637000
telephone directory,299055000
ticket distribution,26151608
transport,66972000
web,5203695724
"web, gaming",32000000
"web, military",163792
"web, tech",4700000
